"NO","55909","ПЕРУЩИЦА","ПЕРУЩИЦА","4225","ПЛОВДИВ","гр."
"FULL","56126","ПЕТРИЧ","ПЕТРИЧ","2850","БЛАГОЕВГРАД","гр."
"NO","56277","ПЕЩЕРА","ПЕЩЕРА","4550","ПАЗАРДЖИК","гр."
"NO","56407","ПИРДОП","ПИРДОП","2070","СОФИЯ","гр."
"NO","56719","ТРЯВНА","ПЛАЧКОВЦИ","5360","ГАБРОВО","гр."
"FULL","56722","ПЛЕВЕН","ПЛЕВЕН","5800","ПЛЕВЕН","гр."
"NO","56770","КАСПИЧАН","ПЛИСКА","9920","ШУМЕН","гр."
"FULL","56784","ПЛОВДИВ","ПЛОВДИВ","4000","ПЛОВДИВ","гр."
"NO","57354","ПОЛСКИ ТРЪМБЕШ","ПОЛСКИ ТРЪМБЕШ","5180","ВЕЛИКО ТЪРНОВО","гр."
"NO","57491","ПОМОРИЕ","ПОМОРИЕ","8200","БУРГАС","гр."
"NO","57649","ПОПОВО","ПОПОВО","7800","ТЪРГОВИЩЕ","гр."
"NO","57772","ПОРДИМ","ПОРДИМ","5898","ПЛЕВЕН","гр."
"NO","58030","ПРАВЕЦ","ПРАВЕЦ","2161","СОФИЯ","гр."
"NO","58356","ПРИМОРСКО","ПРИМОРСКО","8180","БУРГАС","гр."
"NO","58503","ПРОВАДИЯ","ПРОВАДИЯ","9200","ВАРНА","гр."
"NO","59080","ПЪРВОМАЙ","ПЪРВОМАЙ","4270","ПЛОВДИВ","гр."
"NO","61460","РАДНЕВО","РАДНЕВО","6260","СТАРА ЗАГОРА","гр."
"NO","61577","РАДОМИР","РАДОМИР","2400","ПЕРНИК","гр."
"PARTIAL","61710","РАЗГРАД","РАЗГРАД","7200","РАЗГРАД","гр."
"NO","61813","РАЗЛОГ","РАЗЛОГ","2760","БЛАГОЕВГРАД","гр."
"NO","62004","РАКИТОВО","РАКИТОВО","4640","ПАЗАРДЖИК","гр."
"NO","62075","РАКОВСКИ","РАКОВСКИ","4150","ПЛОВДИВ","гр."
